X,Y,Nr_indenti,Specia,Diametru_c,Inaltime_m,Evaluare_s,Evaluare_i,Locatie,icon_url
25.450804022523,45.7076540094418,1.00000000000,ARȚAR,"12","5",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.4509142600202,45.7077376266965,2.00000000000,ARȚAR,"13","6",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.4510893242546,45.7078810921012,3.00000000000,ARȚAR,"13","6",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.4511479510739,45.7079351251016,4.00000000000,ARȚAR,2-5,"4",B - CIOATĂ CU LĂSTARI,NE - TOALETAT (NT),Parc Codlea Nord,./0.png
25.451044340853,45.7080121188282,5.00000000000,ARȚAR,"10","6",SATISFĂCĂTOARE (S),NE - TOALETAT (NT),Parc Codlea Nord,./0.png
25.4509673915583,45.7079400603254,6.00000000000,ARȚAR,"9","6",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.4508603837572,45.7078248323024,7.00000000000,ARȚAR,"9","6",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.4507325809181,45.7076896085838,8.00000000000,ARȚAR,"11","6",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.4507333367132,45.7076356150609,9.00000000000,ARȚAR,"10","6",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.4505923603576,45.707706271105,10.00000000000,ARȚAR,"12","6",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.450641975907,45.7077751684163,11.00000000000,ARȚAR,"12","6",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.4507224881305,45.7078565167053,12.00000000000,ARȚAR,"11","6",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.4508317761147,45.7079572853865,13.00000000000,PRUN ORNAMENTAL,5-15,"5",BUNĂ (B),NE - TOALETAT (NT),Parc Codlea Nord,./0.png
25.4508628624668,45.707985946347,14.00000000000,PRUN ORNAMENTAL,"23","5",BUNĂ (B),NE - TOALETAT (NT),Parc Codlea Nord,./0.png
25.4509250327122,45.708043270052,15.00000000000,ARȚAR,"24","7",BUNĂ (B),NE - TOALETAT (NT),Parc Codlea Nord,./0.png
25.4509366902869,45.7080540179028,16.00000000000,ULM,"23","7",SATISFĂCĂTOARE (S),NE - TOALETAT (NT),Parc Codlea Nord,./0.png
25.4510607891963,45.7081684411669,17.00000000000,ARȚAR,"7","5",BUNĂ (B),TOALETAT (T),Parc Codlea Nord,./0.png
25.451139824047,45.7081371477163,18.00000000000,ULM,"22","8",SATISFĂCĂTOARE (S),NE - TOALETAT (NT),Parc Codlea Nord,./0.png
25.451090089559,45.708118301657,19.00000000000,ULM,"23","7",NESATISFĂCĂTOARE (NS),NE - TOALETAT (NT),Parc Codlea Nord,./0.png
25.4510861277999,45.7081147598434,20.00000000000,ULM,"20","7",NESATISFĂCĂTOARE (NS),NE - TOALETAT (NT),Parc Codlea Nord,./0.png
25.4510618931813,45.708099359552,21.00000000000,ULM,"21","7",NESATISFĂCĂTOARE (NS),NE - TOALETAT (NT),Parc Codlea Nord,./0.png
